director,rating
Saw Teong Hin,TV-PG
Nik Amir Mustapha,TV-PG
M.S. Prem Nath,TV-PG
Rano Karno,TV-G
Pramod Pawar,TV-14
Naresh Saigal,TV-14
Vinil Mathew,TV-MA
Ramsey Nouah,TV-MA
Bong Joon Ho,R
Kim Tae-hyung,TV-14
Michael Spierig,PG-13
Peter Spierig,PG-13
Ernie Barbarash,R
Jay Roach,PG-13
McG,PG-13
Frank Marshall,PG-13
Nick Castle,PG
Victor Vu,TV-14
Joel Hopkins,PG-13
John Stevenson,PG
Mark Osborne,PG
Jennifer Yuh Nelson,PG
Greg Berlanti,PG-13
Garth Davis,R
Rob Marshall,PG-13
Martin Brest,R
Paul W.S. Anderson,PG-13
Ivan Reitman,R
Joel Gallen,R
Claire McCarthy,PG-13
Trevor Nunn,R
Gabriele Muccino,PG-13
Jim Field Smith,R
Chris Koch,PG
J.J. Abrams,PG-13
Rob Minkoff,PG
Lynn Shelton,R
Adam McKay,PG-13
Anton Corbijn,R
Robin Bissell,PG-13
David Fincher,R
John G. Avildsen,PG
Alan Parker,R
Walter Hill,R
Stephen Frears,PG-13
Bryan Bertino,R
Phil Alden Robinson,PG-13
Florian Henckel von Donnersmarck,PG-13
Len Wiseman,R
Måns Mårlind,R
Björn Stein,R
Patrick Tatopoulos,R
Robert O. Peters,TV-MA
Vincent Ward,PG-13
Gregory Nava,R
Matt Thompson,TV-MA
Matt Aselton,R
Andrew Dominik,R
Anissa Bonnefont,TV-14
Bahij Hojeij,TV-MA
Jonathan Hensleigh,PG-13
Justin P. Lange,R
Jayme Monjardim,TV-14
Kingsley Ogoro,TV-MA
Cristina Jacob,TV-MA
Rob Seidenglanz,TV-14
Simon Frederick,TV-MA
Paul Weitz,PG-13
Kayode Kasum,TV-14
Soudade Kaadan,TV-PG
Antoinette Jadaone,TV-MA
Marie Clements,TV-MA
David O. Russell,R
Max Jabs,TV-14
Ricardo de Montreuil,PG-13
Peter Chelsom,TV-MA
Francine Parker,TV-MA
Daniel Schechter,R
Mike Gunther,R
David Zeiger,TV-MA
Michael Simon,TV-G
Joe Berlinger,TV-MA
Bruce Sinofsky,TV-MA
Bradley Parker,TV-MA
Prabhakaran,TV-PG
Manjari Makijany,PG
Jay Oliva,TV-MA
Chris Appelhans,PG
Michael Tiddes,R
Lara Saba,TV-MA
Bao Nhan,TV-MA
Namcito,TV-MA
Mark Raso,TV-MA
Tariq Alkazim,TV-14
Kenneth Gyang,TV-MA
Yulene Olaizola,TV-MA
Mark Waters,PG-13
Matthew Heineman,R
Robert Peters,TV-MA
Jonathan Clay,TV-PG
Ally Pankiw,TV-MA
Lee Kae-byeok,TV-14
Jayan Moodley,TV-14
Daniel Benmayor,TV-MA
Alex Díaz,TV-MA
Helena Bergström,TV-MA
Myriam Fares,TV-14
Rae Red,TV-MA
Lance Hool,PG-13
Nicole Conn,TV-MA
Les Mayfield,PG-13
Ellen Seidler,TV-MA
Megan Siler,TV-MA
Roger Christian,PG-13
Lance Young,R
Leandro Neri,TV-MA
Thom Fitzgerald,TV-MA
Don Michael Paul,R
Andrzej Bartkowiak,R
Harold Becker,PG-13
Andrew Jenks,TV-MA
Ric Roman Waugh,R
Rob Reiner,PG
Andy Tennant,PG-13
Tade Ogidan,TV-14
Scott Spiegel,R
Jessie Nelson,PG-13
Theodore Witcher,R
Aurora Guerrero,TV-14
Michael Jai White,R
James McTeigue,R
Takuya Igarashi,TV-PG
Michelle MacLaren,R
Todd Phillips,PG-13
Walter Hill,PG
Dominic Sena,R
Alan Alda,PG
Sydney Pollack,PG-13
Lorene Scafaria,PG-13
Barbra Streisand,PG-13
Clint Eastwood,PG
Michael Winterbottom,R
Emma Tammi,R
Peter Hutchings,TV-MA
George Ratliff,R
Bo Burnham,TV-MA
David Frankel,PG-13
Julio Quintana,TV-PG
Paween Purijitpanya,TV-MA
Pablo Faro,TV-MA
Soudade Kaadan,TV-MA
Letizia Lamartire,TV-MA
Tim Johnson,PG
Vishwesh Krishnamoorthy,TV-14
Zack Snyder,R
Amr Salama,TV-14
Robert Rodriguez,PG
David Ayer,R
Eshom Nelms,R
Ian Nelms,R
James Redford,TV-14
Kaashvie Nair,TV-14
J.D. Dillard,R
Nikhil Pherwani,TV-MA
Praveen Kandregula,TV-MA
Cecilia Verheyden,TV-MA
Daniel Minahan,TV-MA
Donovan Marsh,TV-MA
Brent Dawes,TV-Y7
Leli Maki,TV-MA
Daniel Prochaska,TV-MA
Joe Wright,R
Matthew Vaughn,R
Aditya Kripalani,TV-MA
David Pablos,TV-MA
Alexandre Aja,TV-14
Ramon Térmens,TV-MA
Svetlana Cvetko,TV-PG
Martin Prakkat,TV-MA
Baran bo Odar,R
Zhang Chong,TV-14
Yılmaz Erdoğan,TV-MA
Ivan Ayr,TV-14
Anthony Mandler,TV-MA
Stanley Menino D'Costa,TV-PG
Jennifer Brea,TV-MA
Julia von Heinz,TV-MA
Niels Arden Oplev,R
Don Argott,TV-MA
Sheena M. Joyce,TV-MA
Duncan Skiles,TV-MA
Sean McNamara,PG
Vondie Curtis-Hall,R
Robert Radler,PG-13
Todd Phillips,R
Dean Parisot,PG-13
Paul Greengrass,R
Lasse Hallström,G
Justin Kelly,R
Eric Darnell,PG
Tom McGrath,PG
Conrad Vernon,PG
Clint Eastwood,R
Jeff Wadlow,PG-13
Charles Martin,TV-MA
Stella Corradi,TV-MA
Roland Emmerich,PG-13
Kevin Macdonald,PG-13
Ann Deborah Fishman,TV-14
Chris Gorak,PG-13
Peter Jackson,PG-13
Roger Kumble,R
Jonathan Lynn,R
Courtney Hunt,R
Pierre Greco,TV-PG
Nancy Florence Savard,TV-PG
Andrew Davis,R
Kevin Smith,R
Chaitanya Tamhane,TV-MA
Johannes Roberts,R
Pedro Antonio,TV-MA
John Wells,R
Jonathan Liebesman,PG-13
Maria Pulera,R
Santhosh Viswanath,TV-PG
Seema Pahwa,TV-14
Ozan Açıktan,TV-14
Meltem Bozoflu,TV-14
Hakan Algül,TV-MA
Selçuk Aydemir,TV-MA
Birkan Pusa,TV-MA
Ömer Faruk Sorak,TV-MA
Şenol Sönmez,TV-14
Alexis Morante,TV-MA
Burak Aksak,TV-MA
Kıvanç Baruönü,TV-MA
Kıvanç Baruönü,TV-14
Kongkiat Khomsiri,TV-14
Bedran Güzel,TV-MA
Marwan Nabil,TV-G
Takashi Shimizu,TV-MA
Joe Penna,TV-MA
Curtis Graham,TV-14
Gerardo Gatica,TV-MA
John Madden,R
Edward James Olmos,R
Abhinay Deo,TV-MA
Kiran Rao,TV-MA
Abbas Tyrewala,TV-14
Ashutosh Gowariker,PG
Satyajit Bhatkal,TV-14
Anusha Rizvi,TV-MA
Mahmood Farooqui,TV-MA
Aamir Khan,PG
Shashank Khaitan,TV-MA
Raj Mehta,TV-MA
Neeraj Ghaywan,TV-MA
Kayoze Irani,TV-MA
Ryan Crego,TV-Y7
Cassi Simonds,TV-Y
Guillermo del Toro,R
Tony Abulu,TV-MA
Mae Czarina Cruz,TV-MA
Stefan Westerwelle,TV-14
Ron Howard,R
Justin Benson,R
Aaron Moorhead,R
Niki Caro,PG-13
Mark Dennis,TV-14
Ben Foster,TV-14
Taranveer Singh,TV-14
TT The Artist,TV-MA
Keiichi Sato,TV-MA
Yasushi Kawamura,TV-MA
Glenn Weiss,TV-PG
Michael Civille,TV-14
Ryuichi Hiroki,TV-MA
One9,TV-MA
Luis Valdez,R
Cheng Wei-hao,TV-MA
Pass Patthanakumjon,TV-MA
Buchi Babu Sana,TV-14
Zhao Ji,TV-14
Jamie Babbit,R
Park Hoon-jung,TV-MA
Dare Olaitan,TV-MA
Ben Falcone,PG-13
Travon Free,TV-MA
Martin Desmond Roe,TV-MA
Angga Dwimas Sasongko,TV-PG
Madonne Ashwin,TV-14
Enah Johnscott,TV-MA
Braden R. Duemmler,TV-MA
Cal Brunker,PG
Steve Pink,PG-13
Xiao Feng,R
Vince Marcello,TV-Y
Ricky Staub,R
Patrick Durham,R
Paul G. Volk,R
BB Sasore,TV-MA
Naseef Yusuf Izuddin,TV-MA
Appie Boudellah,TV-MA
Aram van de Rest,TV-MA
Sylvie Verheyde,TV-MA
Nick Moore,PG-13
Alex Zamm,PG
Rajkumar Hirani,PG-13
Rajesh Mapuskar,TV-PG
James Wan,PG-13
David Hackl,R
Takeshi Nozue,PG-13
Subhash Kapoor,TV-14
