director,TV-MA,TV-14,PG-13,PG,R,TV-PG,G,TV-Y,TV-Y7,TV-G
Pang Ho-cheung,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Burton,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reginald Hudlin,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
David Zucker,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Kinka Usher,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Leone,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Matthew O'Callaghan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Todd Wilderman,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Farrelly,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Peter Farrelly,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Wolfgang Petersen,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peter Spirer,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Michael Carney,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Linklater,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amy Rice,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randal Kleiser,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Michael Ritchie,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J. Lee Thompson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Goldberg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
